,entry1,entry2
0,BS_0001355,BS_0003040
1,BS_0003541,BS_0007227
2,BS_0005004,BS_0002747
3,BS_0004142,BS_0005068
4,BS_0004101,BS_0001275
5,BS_0006671,BS_0002194
6,BS_0000035,BS_0000501
7,BS_0002474,BS_0002790
8,BS_0002773,BS_0005305
9,BS_0008463,BS_0000479
10,BS_0008166,BS_0001716
11,BS_0007206,BS_0004614
12,BS_0002502,BS_0004316
13,BS_0001615,BS_0003361
14,BS_0008793,BS_0000726
15,BS_0005217,BS_0003535
16,BS_0003627,BS_0002452
17,BS_0007084,BS_0001777
18,BS_0002410,BS_0006745
19,BS_0000885,BS_0001886
20,BS_0004473,BS_0004709
21,BS_0000175,BS_0009113
22,BS_0007920,BS_0007010
23,BS_0003515,BS_0006521
24,BS_0003957,BS_0005594
25,BS_0004477,BS_0008252
26,BS_0004394,BS_0008484
27,BS_0001736,BS_0005104
28,BS_0002312,BS_0001306
29,BS_0003906,BS_0008922
30,BS_0001444,BS_0004865
31,BS_0002696,BS_0000411
32,BS_0003315,BS_0002312
33,BS_0007825,BS_0006223
34,BS_0005394,BS_0003264
35,BS_0008163,BS_0001610
36,BS_0000632,BS_0002844
37,BS_0007961,BS_0007506
38,BS_0000587,BS_0005325
39,BS_0002413,BS_0001740
40,BS_0000442,BS_0008166
41,BS_0000547,BS_0001728
42,BS_0006018,BS_0000780
43,BS_0008953,BS_0002503
44,BS_0009080,BS_0002257
45,BS_0005676,BS_0005104
46,BS_0005452,BS_0009190
47,BS_0001117,BS_0002474
48,BS_0006857,BS_0004393
49,BS_0006424,BS_0002876
50,BS_0001625,BS_0000025
51,BS_0000598,BS_0004506
52,BS_0006671,BS_0000775
53,BS_0002798,BS_0007933
54,BS_0007648,BS_0008313
55,BS_0002041,BS_0005062
56,BS_0002049,BS_0003864
57,BS_0002945,BS_0009558
58,BS_0004750,BS_0005719
59,BS_0005249,BS_0004662
60,BS_0009029,BS_0008233
61,BS_0002742,BS_0005778
62,BS_0007716,BS_0003970
63,BS_0001088,BS_0008243
64,BS_0001276,BS_0004101
65,BS_0001119,BS_0001625
66,BS_0003162,BS_0003379
67,BS_0004176,BS_0006199
68,BS_0009609,BS_0009386
69,BS_0005803,BS_0005842
70,BS_0008057,BS_0002408
71,BS_0006857,BS_0009497
72,BS_0006872,BS_0008674
73,BS_0006662,BS_0003451
74,BS_0002563,BS_0006167
75,BS_0006521,BS_0005838
76,BS_0009409,BS_0004422
77,BS_0003589,BS_0008576
78,BS_0009137,BS_0002844
79,BS_0003673,BS_0006855
80,BS_0001144,BS_0004853
81,BS_0001648,BS_0005718
82,BS_0006698,BS_0000073
83,BS_0006363,BS_0007824
84,BS_0003195,BS_0005243
85,BS_0004783,BS_0006813
86,BS_0002125,BS_0007943
87,BS_0005971,BS_0005604
88,BS_0003163,BS_0008300
89,BS_0005409,BS_0000648
90,BS_0004303,BS_0006055
91,BS_0003602,BS_0007152
92,BS_0008931,BS_0000332
93,BS_0007042,BS_0000048
94,BS_0001116,BS_0009125
95,BS_0002328,BS_0007189
96,BS_0003359,BS_0005251
97,BS_0001533,BS_0003302
98,BS_0007909,BS_0007786
99,BS_0001919,BS_0005004
100,BS_0007050,BS_0000753
101,BS_0001886,BS_0006245
102,BS_0003861,BS_0003679
103,BS_0003368,BS_0006882
104,BS_0002504,BS_0003173
105,BS_0007719,BS_0001166
106,BS_0004453,BS_0005676
107,BS_0009219,BS_0004381
108,BS_0002400,BS_0002514
109,BS_0008238,BS_0007881
110,BS_0003017,BS_0006156
111,BS_0000442,BS_0004151
