drugID,SMILES
BS_0000000,Br.Br.Br.Br.Br.Br.Br.Br.Br.Br.Br.[Br-].[Ta+].[Ta].[Ta].[Ta].[Ta].[Ta]
BS_0000001,BrC(Br)Br
BS_0000002,Brc1c(Br)c(Br)c2n[nH]nc2c1Br
BS_0000003,Brc1c(NC2=NCCN2)ccc2nccnc12
BS_0000004,Brc1cccc(-c2cc(-c3ccc4c(c3)OCO4)[nH]n2)c1
BS_0000005,Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]ccc3n2)c1
BS_0000006,Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]cnc3n2)c1
BS_0000007,Brc1cnc2c(NCc3cncnc3)cc(-c3ccccc3)cn12
BS_0000008,Brc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12
BS_0000009,Brc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12
BS_0000010,Brc1cnn2c(NCc3cncnc3)cc(-c3ccccc3)cc12
BS_0000011,Brc1nc[nH]c2ncnc1-2
BS_0000012,C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O
BS_0000013,C#CC(O)(C=CCl)CC
BS_0000014,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
BS_0000015,C#CC1(OC(N)=O)CCCCC1
BS_0000016,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
BS_0000017,C#CCC/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
BS_0000018,C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21
BS_0000019,C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21
BS_0000020,C#CCCCn1c(Cc2cc(OC)ccc2OC)nc2c(N)nc(F)nc21
BS_0000021,C#CCN(C)CC1=Cc2ccccc2Oc2ccccc21
BS_0000022,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
BS_0000023,C#CCN(C)Cc1ccccc1
BS_0000024,C#CCN(C)[C@@H]1CCc2ccccc21
BS_0000025,C#CCN(C)[C@H](C)Cc1ccccc1
BS_0000026,C#CCN(Cc1cc2c(=O)nc(C)[nH]c2cc1C)c1ccc(C(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)c(F)c1
BS_0000027,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
BS_0000028,C#CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1
BS_0000029,C#CCNC(Cc1ccc(O)c2ncccc12)C(=O)OCC
BS_0000030,C#CCN[C@@H]1CCc2ccc(O)cc21
BS_0000031,C#CCN[C@@H]1CCc2ccccc21
BS_0000032,C#CCN[C@H]1CCc2ccccc21
BS_0000033,C#CCO[C@H]1CN2CCC1CC2
BS_0000034,C#CCOc1ccc(Nc2nc(Nc3ccc(C)c(S(=O)(=O)NC(=O)CC)c3)ncc2F)cc1
BS_0000035,C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc2nc(Br)cnc2c1
BS_0000036,C#C[C@@]1(CO)C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1
BS_0000037,C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O
BS_0000038,C#C[C@H](N)C(=O)O
BS_0000039,C#C[C@H]1CC[C@@H](CN)N1C(=O)[C@@H](N)C1CCCC1
BS_0000040,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
BS_0000041,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
BS_0000042,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC
BS_0000043,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C
BS_0000044,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC
BS_0000045,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
BS_0000046,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
BS_0000047,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
BS_0000048,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
BS_0000049,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
BS_0000050,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C[C@@H](O)CC[C@@H]4[C@H]3CC[C@@]21C
BS_0000051,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
BS_0000052,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
BS_0000053,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
BS_0000054,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
BS_0000055,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C
BS_0000056,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C
BS_0000057,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=C[C@@H]3O
BS_0000058,C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
BS_0000059,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@@H]4[C@H]3CC[C@@]21C
BS_0000060,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
BS_0000061,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
BS_0000062,C#Cc1c[nH]c(=O)[nH]c1=O
BS_0000063,C#Cc1ccc(Nc2c(C(=O)NOCCO)ccc(F)c2F)c(F)c1
BS_0000064,C#Cc1cccc(-c2cc(=O)n(C)c3ccc([C@](O)(c4ccc(Cl)cc4)c4cncn4C)cc23)c1
BS_0000065,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1
BS_0000066,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
BS_0000067,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1
BS_0000068,C#Cc1cnc2[nH]c(=O)n(C(CC)CC)c2n1
BS_0000069,C#[N+]CC
BS_0000070,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
BS_0000071,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)[nH]c1=N
BS_0000072,C/C(=C(/CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N
BS_0000073,C/C(=C/C(=O)O)C(=O)O
BS_0000074,C/C(=C/C=C/[C@@H](C)C(=O)O)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O
BS_0000075,C/C(=C1/SC(=N)NC1=O)c1ccc(-c2ccc(S(N)(=O)=O)cc2)o1
BS_0000076,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
BS_0000077,C/C(=C\C=C\[C@@H](C)c1ccccn1)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC(=O)N2CCN(C)CC2)/C=C/[C@@H]1C
BS_0000078,C/C(=C\CNc1ncnc2[nH]cnc12)CO
BS_0000079,C/C(=C\S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)c1ccc(Cl)s1
BS_0000080,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
BS_0000081,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1
BS_0000082,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
BS_0000083,C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCCCCCC(=O)Nc2cc(/C(C)=N/NC(=N)N)cc(/C(C)=N/NC(=N)N)c2)cc(/C(C)=N/NC(=N)N)c1
BS_0000084,C/C(=N\O)c1ncc([C@@H](O)[C@H](O)[C@H](O)CO)[nH]1
BS_0000085,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1
BS_0000086,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1
BS_0000087,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
BS_0000088,C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\C=C/CC1)O[C@@](O)([C@@H]1CSC(O)=N1)C2
BS_0000089,C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2
BS_0000090,C/C1=C/C[C@@H](/C(C)=C/c2cc(C)on2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C\C1
BS_0000091,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C1
BS_0000092,C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC1
BS_0000093,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)O)[C@H]5CC(=O)O)[C@@](C)(CC(=O)O)[C@@H]4CCC(=O)O)[C@@](C)(CC(=O)O)[C@@H]3CCC(=O)O)C(C)(C)[C@@H]2CCC(=O)O
BS_0000094,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@H]([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)N=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.[Co+2]
BS_0000095,C/C1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)O[C@H](C(C)C)[C@H](C)/C=C/C(=O)NC/C=C/1
BS_0000096,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@@H](OC(=O)CCCCCCCCCCCNC(=O)C[C@H](N)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)C[C@](C)(OC(C)=O)[C@H]2[C@@H]1OC(=O)CCCCCCC
BS_0000097,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C
BS_0000098,C/C=C(/C=O)[C@@H]1NC(C(=O)O)=C2[C@@H](OC)CCC[C@@H]21
BS_0000099,C/C=C(/N)CCC(=O)O
