,entry1,entry2
0,BS_0001355,BS_0003040
1,BS_0003541,BS_0007227
2,BS_0005004,BS_0002747
3,BS_0004142,BS_0005068
4,BS_0004101,BS_0001275
6,BS_0000035,BS_0000501
8,BS_0002773,BS_0005305
9,BS_0008463,BS_0000479
10,BS_0008166,BS_0001716
12,BS_0002502,BS_0004316
15,BS_0005217,BS_0003535
17,BS_0007084,BS_0001777
18,BS_0002410,BS_0006745
22,BS_0007920,BS_0007010
23,BS_0003515,BS_0006521
24,BS_0003957,BS_0005594
27,BS_0001736,BS_0005104
28,BS_0002312,BS_0001306
30,BS_0001444,BS_0004865
32,BS_0003315,BS_0002312
33,BS_0007825,BS_0006223
34,BS_0005394,BS_0003264
35,BS_0008163,BS_0001610
37,BS_0007961,BS_0007506
38,BS_0000587,BS_0005325
39,BS_0002413,BS_0001740
40,BS_0000442,BS_0008166
41,BS_0000547,BS_0001728
42,BS_0006018,BS_0000780
43,BS_0008953,BS_0002503
44,BS_0009080,BS_0002257
45,BS_0005676,BS_0005104
46,BS_0005452,BS_0009190
50,BS_0001625,BS_0000025
52,BS_0006671,BS_0000775
57,BS_0002945,BS_0009558
58,BS_0004750,BS_0005719
59,BS_0005249,BS_0004662
61,BS_0002742,BS_0005778
62,BS_0007716,BS_0003970
64,BS_0001276,BS_0004101
65,BS_0001119,BS_0001625
67,BS_0004176,BS_0006199
69,BS_0005803,BS_0005842
70,BS_0008057,BS_0002408
73,BS_0006662,BS_0003451
75,BS_0006521,BS_0005838
76,BS_0009409,BS_0004422
77,BS_0003589,BS_0008576
78,BS_0009137,BS_0002844
79,BS_0003673,BS_0006855
81,BS_0001648,BS_0005718
82,BS_0006698,BS_0000073
83,BS_0006363,BS_0007824
84,BS_0003195,BS_0005243
85,BS_0004783,BS_0006813
86,BS_0002125,BS_0007943
89,BS_0005409,BS_0000648
91,BS_0003602,BS_0007152
95,BS_0002328,BS_0007189
96,BS_0003359,BS_0005251
98,BS_0007909,BS_0007786
99,BS_0001919,BS_0005004
100,BS_0007050,BS_0000753
102,BS_0003861,BS_0003679
103,BS_0003368,BS_0006882
104,BS_0002504,BS_0003173
106,BS_0004453,BS_0005676
107,BS_0009219,BS_0004381
109,BS_0008238,BS_0007881
110,BS_0003017,BS_0006156
111,BS_0000442,BS_0004151
112,BS_0002504,BS_0003169
113,BS_0006679,BS_0005410
114,BS_0000637,BS_0008336
116,BS_0005059,BS_0006132
117,BS_0001737,BS_0007193
118,BS_0005322,BS_0008049
124,BS_0005025,BS_0004875
125,BS_0005743,BS_0004378
126,BS_0000484,BS_0006071
127,BS_0004348,BS_0002942
128,BS_0006481,BS_0006943
131,BS_0003699,BS_0000779
132,BS_0006077,BS_0000278
133,BS_0002252,BS_0007631
137,BS_0000458,BS_0006723
139,BS_0004748,BS_0004695
140,BS_0000027,BS_0001871
141,BS_0001645,BS_0001369
143,BS_0002170,BS_0002971
145,BS_0002504,BS_0005059
147,BS_0009487,BS_0001089
149,BS_0007460,BS_0002559
151,BS_0002312,BS_0002415
152,BS_0008740,BS_0002609
153,BS_0005971,BS_0004702
155,BS_0003791,BS_0009290
156,BS_0003215,BS_0004728
160,BS_0005622,BS_0008413
163,BS_0008493,BS_0006738
166,BS_0000266,BS_0004253
167,BS_0005016,BS_0001795
169,BS_0001737,BS_0001114
173,BS_0000025,BS_0003235
174,BS_0003017,BS_0008530
175,BS_0002850,BS_0004348
177,BS_0009119,BS_0008608
178,BS_0001041,BS_0003409
180,BS_0007228,BS_0001736
181,BS_0002850,BS_0001525
182,BS_0004244,BS_0002357
