,entry1,entry2
0,BS_0001355,BS_0003040
2,BS_0005004,BS_0002747
3,BS_0004142,BS_0005068
4,BS_0004101,BS_0001275
5,BS_0006671,BS_0002194
6,BS_0000035,BS_0000501
8,BS_0002773,BS_0005305
9,BS_0008463,BS_0000479
11,BS_0007206,BS_0004614
13,BS_0001615,BS_0003361
14,BS_0008793,BS_0000726
15,BS_0005217,BS_0003535
16,BS_0003627,BS_0002452
17,BS_0007084,BS_0001777
18,BS_0002410,BS_0006745
19,BS_0000885,BS_0001886
20,BS_0004473,BS_0004709
22,BS_0007920,BS_0007010
23,BS_0003515,BS_0006521
26,BS_0004394,BS_0008484
29,BS_0003906,BS_0008922
33,BS_0007825,BS_0006223
34,BS_0005394,BS_0003264
36,BS_0000632,BS_0002844
37,BS_0007961,BS_0007506
39,BS_0002413,BS_0001740
41,BS_0000547,BS_0001728
44,BS_0009080,BS_0002257
46,BS_0005452,BS_0009190
50,BS_0001625,BS_0000025
51,BS_0000598,BS_0004506
52,BS_0006671,BS_0000775
54,BS_0007648,BS_0008313
55,BS_0002041,BS_0005062
57,BS_0002945,BS_0009558
58,BS_0004750,BS_0005719
59,BS_0005249,BS_0004662
61,BS_0002742,BS_0005778
62,BS_0007716,BS_0003970
64,BS_0001276,BS_0004101
66,BS_0003162,BS_0003379
67,BS_0004176,BS_0006199
68,BS_0009609,BS_0009386
69,BS_0005803,BS_0005842
70,BS_0008057,BS_0002408
75,BS_0006521,BS_0005838
76,BS_0009409,BS_0004422
78,BS_0009137,BS_0002844
81,BS_0001648,BS_0005718
82,BS_0006698,BS_0000073
83,BS_0006363,BS_0007824
84,BS_0003195,BS_0005243
85,BS_0004783,BS_0006813
86,BS_0002125,BS_0007943
88,BS_0003163,BS_0008300
91,BS_0003602,BS_0007152
92,BS_0008931,BS_0000332
93,BS_0007042,BS_0000048
95,BS_0002328,BS_0007189
96,BS_0003359,BS_0005251
99,BS_0001919,BS_0005004
100,BS_0007050,BS_0000753
101,BS_0001886,BS_0006245
102,BS_0003861,BS_0003679
103,BS_0003368,BS_0006882
105,BS_0007719,BS_0001166
107,BS_0009219,BS_0004381
108,BS_0002400,BS_0002514
111,BS_0000442,BS_0004151
114,BS_0000637,BS_0008336
115,BS_0001807,BS_0006642
116,BS_0005059,BS_0006132
117,BS_0001737,BS_0007193
118,BS_0005322,BS_0008049
119,BS_0009287,BS_0005868
120,BS_0005547,BS_0004025
121,BS_0004394,BS_0005850
122,BS_0003756,BS_0001013
123,BS_0004317,BS_0001886
124,BS_0005025,BS_0004875
125,BS_0005743,BS_0004378
126,BS_0000484,BS_0006071
127,BS_0004348,BS_0002942
128,BS_0006481,BS_0006943
130,BS_0005846,BS_0008993
134,BS_0005987,BS_0001005
136,BS_0008910,BS_0009607
137,BS_0000458,BS_0006723
138,BS_0008536,BS_0001535
139,BS_0004748,BS_0004695
141,BS_0001645,BS_0001369
143,BS_0002170,BS_0002971
144,BS_0008223,BS_0005545
146,BS_0000261,BS_0000448
147,BS_0009487,BS_0001089
148,BS_0007018,BS_0002431
149,BS_0007460,BS_0002559
156,BS_0003215,BS_0004728
158,BS_0003995,BS_0005092
159,BS_0001254,BS_0002013
160,BS_0005622,BS_0008413
162,BS_0003879,BS_0003446
163,BS_0008493,BS_0006738
167,BS_0005016,BS_0001795
168,BS_0004768,BS_0008345
171,BS_0003162,BS_0001117
172,BS_0001113,BS_0004706
175,BS_0002850,BS_0004348
176,BS_0004503,BS_0000761
180,BS_0007228,BS_0001736
182,BS_0004244,BS_0002357
185,BS_0008742,BS_0007724
186,BS_0001278,BS_0004702
187,BS_0006687,BS_0001716
188,BS_0002170,BS_0003159
189,BS_0004679,BS_0008250
190,BS_0000066,BS_0000623
