,entry1,entry2
0,DB00945,DB00458
1,DB00945,DB00996
3,DB00945,DB00213
4,DB00945,DB00492
5,DB00945,DB01212
6,DB00945,DB00398
7,DB00945,DB00709
8,DB00945,DB00775
10,DB00945,DB00853
12,DB00945,DB00440
14,DB00945,DB00519
15,DB00945,DB01195
16,DB00945,DB00250
17,DB00945,DB01004
18,DB00945,DB00582
19,DB00945,DB00268
21,DB00945,DB01204
22,DB00945,DB01248
23,DB00945,DB00555
24,DB00945,DB00862
25,DB00945,DB00990
30,DB00945,DB00953
31,DB00945,DB01115
32,DB00945,DB00341
33,DB00945,DB00920
34,DB00945,DB00394
35,DB00945,DB00243
36,DB00945,DB02300
37,DB00945,DB00571
38,DB00945,DB00530
39,DB00945,DB00635
40,DB00945,DB00441
41,DB00945,DB01026
43,DB00945,DB00681
45,DB00945,DB00424
46,DB00945,DB00455
48,DB00945,DB01042
49,DB00945,DB00726
51,DB00945,DB01224
52,DB00945,DB00346
53,DB00945,DB00601
54,DB00945,DB00924
55,DB00945,DB00540
56,DB00945,DB00218
57,DB00945,DB00559
59,DB00945,DB00975
60,DB00945,DB00248
61,DB00945,DB00472
62,DB00945,DB00321
63,DB00945,DB00413
64,DB00945,DB00410
65,DB00945,DB00244
66,DB00945,DB01233
68,DB00945,DB01223
69,DB00945,DB01137
70,DB00945,DB00642
71,DB00945,DB00999
72,DB00945,DB00439
73,DB00945,DB00577
74,DB00945,DB00415
75,DB00945,DB00742
76,DB00945,DB00586
77,DB00945,DB00580
78,DB00945,DB00798
79,DB00945,DB01337
80,DB00945,DB00426
82,DB00945,DB00993
83,DB00945,DB01327
84,DB00945,DB00335
86,DB00945,DB00363
87,DB00945,DB00531
88,DB00945,DB00417
89,DB00945,DB00864
90,DB00945,DB00343
92,DB00945,DB01162
93,DB00945,DB00180
95,DB00945,DB00350
96,DB00945,DB00661
97,DB00945,DB00630
98,DB00945,DB01124
99,DB00945,DB00787
100,DB00945,DB00512
103,DB00945,DB00598
104,DB00945,DB00673
105,DB00945,DB00222
106,DB00945,DB06700
107,DB00945,DB00612
108,DB00945,DB01032
111,DB00945,DB00624
112,DB00945,DB00153
113,DB00945,DB00231
114,DB00945,DB00373
115,DB00945,DB00860
117,DB00945,DB00563
119,DB00945,DB01048
120,DB00945,DB01416
121,DB00945,DB01203
122,DB00945,DB00211
124,DB00945,DB00459
125,DB00945,DB01076
126,DB00945,DB00361
127,DB00945,DB00194
128,DB00945,DB00381
129,DB00945,DB00808
130,DB00945,DB00590
131,DB00945,DB00203
132,DB00945,DB00252
133,DB00945,DB00338
135,DB00945,DB00802
136,DB00945,DB00627
137,DB00945,DB00969
138,DB00945,DB01240
139,DB00945,DB00280
140,DB00945,DB00927
141,DB00945,DB01059
142,DB00945,DB00962
143,DB00945,DB00270
145,DB00945,DB01129
147,DB00945,DB00724
149,DB00945,DB00820
152,DB00945,DB00762
153,DB00945,DB00583
154,DB00945,DB01273
155,DB00945,DB00850
156,DB00945,DB00654
157,DB00945,DB00916
158,DB00945,DB00537
159,DB00945,DB00833
161,DB00945,DB00741
162,DB00945,DB00658
163,DB00945,DB00829
164,DB00945,DB00533
165,DB00945,DB00198
166,DB00945,DB00883
167,DB00945,DB01077
168,DB00945,DB00193
169,DB00945,DB01156
170,DB00945,DB00818
171,DB00945,DB01586
174,DB00945,DB00747
175,DB00945,DB00889
176,DB00945,DB00842
177,DB00945,DB00851
178,DB00945,DB00770
180,DB00945,DB00819
181,DB00945,DB00230
182,DB00945,DB00208
