,entry1,entry2
0,DB00945,DB00458
1,DB00945,DB00996
2,DB00945,DB00454
3,DB00945,DB00213
4,DB00945,DB00492
6,DB00945,DB00398
7,DB00945,DB00709
8,DB00945,DB00775
9,DB00945,DB00697
10,DB00945,DB00853
12,DB00945,DB00440
13,DB00945,DB00181
14,DB00945,DB00519
15,DB00945,DB01195
16,DB00945,DB00250
17,DB00945,DB01004
18,DB00945,DB00582
19,DB00945,DB00268
21,DB00945,DB01204
22,DB00945,DB01248
23,DB00945,DB00555
24,DB00945,DB00862
27,DB00945,DB00204
28,DB00945,DB00542
29,DB00945,DB01197
30,DB00945,DB00953
31,DB00945,DB01115
33,DB00945,DB00920
35,DB00945,DB00243
36,DB00945,DB02300
38,DB00945,DB00530
40,DB00945,DB00441
41,DB00945,DB01026
42,DB00945,DB00275
43,DB00945,DB00681
44,DB00945,DB00968
45,DB00945,DB00424
46,DB00945,DB00455
47,DB00945,DB01009
48,DB00945,DB01042
49,DB00945,DB00726
50,DB00945,DB00710
51,DB00945,DB01224
52,DB00945,DB00346
54,DB00945,DB00924
55,DB00945,DB00540
56,DB00945,DB00218
57,DB00945,DB00559
59,DB00945,DB00975
60,DB00945,DB00248
61,DB00945,DB00472
62,DB00945,DB00321
63,DB00945,DB00413
64,DB00945,DB00410
65,DB00945,DB00244
66,DB00945,DB01233
67,DB00945,DB00295
68,DB00945,DB01223
69,DB00945,DB01137
70,DB00945,DB00642
72,DB00945,DB00439
73,DB00945,DB00577
74,DB00945,DB00415
76,DB00945,DB00586
77,DB00945,DB00580
79,DB00945,DB01337
80,DB00945,DB00426
81,DB00945,DB00649
82,DB00945,DB00993
83,DB00945,DB01327
85,DB00945,DB00967
86,DB00945,DB00363
87,DB00945,DB00531
88,DB00945,DB00417
90,DB00945,DB00343
91,DB00945,DB00757
92,DB00945,DB01162
94,DB00945,DB00200
95,DB00945,DB00350
96,DB00945,DB00661
97,DB00945,DB00630
98,DB00945,DB01124
99,DB00945,DB00787
100,DB00945,DB00512
101,DB00945,DB00422
102,DB00945,DB01140
103,DB00945,DB00598
104,DB00945,DB00673
105,DB00945,DB00222
106,DB00945,DB06700
108,DB00945,DB01032
109,DB00945,DB00700
110,DB00945,DB00836
112,DB00945,DB00153
113,DB00945,DB00231
114,DB00945,DB00373
116,DB00945,DB00585
117,DB00945,DB00563
118,DB00945,DB01036
119,DB00945,DB01048
122,DB00945,DB00211
123,DB00945,DB01291
124,DB00945,DB00459
125,DB00945,DB01076
126,DB00945,DB00361
127,DB00945,DB00194
128,DB00945,DB00381
129,DB00945,DB00808
130,DB00945,DB00590
131,DB00945,DB00203
133,DB00945,DB00338
134,DB00945,DB00921
135,DB00945,DB00802
136,DB00945,DB00627
137,DB00945,DB00969
139,DB00945,DB00280
140,DB00945,DB00927
141,DB00945,DB01059
143,DB00945,DB00270
144,DB00945,DB00698
145,DB00945,DB01129
146,DB00945,DB00327
147,DB00945,DB00724
148,DB00945,DB00674
149,DB00945,DB00820
150,DB00945,DB01182
151,DB00945,DB00285
153,DB00945,DB00583
154,DB00945,DB01273
155,DB00945,DB00850
156,DB00945,DB00654
157,DB00945,DB00916
158,DB00945,DB00537
159,DB00945,DB00833
160,DB00945,DB01149
162,DB00945,DB00658
163,DB00945,DB00829
164,DB00945,DB00533
165,DB00945,DB00198
166,DB00945,DB00883
167,DB00945,DB01077
168,DB00945,DB00193
169,DB00945,DB01156
170,DB00945,DB00818
172,DB00945,DB00884
173,DB00945,DB00841
174,DB00945,DB00747
