PreModel(
  (encoder): DeeperGCN(
    (node_encoder): Sequential(
      (0): Linear(in_features=121, out_features=128, bias=True)
      (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
    (gcn_blocks): ModuleList(
      (0): ModuleList(
        (0): DeepGCNLayerV2(block=res+)
        (1): DeepGCNLayerV2(block=res+)
      )
    )
    (edge_encoder): Sequential(
      (0): Linear(in_features=11, out_features=128, bias=True)
      (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
  )
  (decoder): DeeperGCN(
    (node_encoder): Sequential(
      (0): Linear(in_features=128, out_features=121, bias=True)
      (1): LayerNorm((121,), eps=1e-05, elementwise_affine=True)
    )
    (gcn_blocks): ModuleList(
      (0): ModuleList(
        (0): DeepGCNLayerV2(block=res+)
      )
    )
    (edge_encoder): Sequential(
      (0): Linear(in_features=128, out_features=11, bias=True)
      (1): LayerNorm((11,), eps=1e-05, elementwise_affine=True)
    )
    (edge_decoder): Linear(in_features=121, out_features=11, bias=True)
  )
  (encoder2decoder_nodes): Linear(in_features=128, out_features=128, bias=False)
  (encoder2decoder_edges): Linear(in_features=128, out_features=128, bias=False)
)
loading processed data...
add degrees as node features for each sample...
in val dataloader...

val:Ep0000|| Loss: 1.50851

in train dataloader...

val:Ep0000|| Loss: 0.03774


trn:Ep0000|| Loss: 0.11495


val:Ep0001|| Loss: 0.02178


trn:Ep0001|| Loss: 0.02762


val:Ep0002|| Loss: 0.01825


trn:Ep0002|| Loss: 0.01967


val:Ep0003|| Loss: 0.01590


trn:Ep0003|| Loss: 0.01711


val:Ep0004|| Loss: 0.01413


trn:Ep0004|| Loss: 0.01526


val:Ep0005|| Loss: 0.01297


trn:Ep0005|| Loss: 0.01388


val:Ep0006|| Loss: 0.01205


trn:Ep0006|| Loss: 0.01278


val:Ep0007|| Loss: 0.01168


trn:Ep0007|| Loss: 0.01200


val:Ep0008|| Loss: 0.01145


trn:Ep0008|| Loss: 0.01150


val:Ep0009|| Loss: 0.01082


trn:Ep0009|| Loss: 0.01117


val:Ep0010|| Loss: 0.01023


trn:Ep0010|| Loss: 0.01057


val:Ep0011|| Loss: 0.01043


trn:Ep0011|| Loss: 0.01036


val:Ep0012|| Loss: 0.00965


trn:Ep0012|| Loss: 0.01005


val:Ep0013|| Loss: 0.00935


trn:Ep0013|| Loss: 0.00976


val:Ep0014|| Loss: 0.00942


trn:Ep0014|| Loss: 0.00945


val:Ep0015|| Loss: 0.00904


trn:Ep0015|| Loss: 0.00933


val:Ep0016|| Loss: 0.00903


trn:Ep0016|| Loss: 0.00923


val:Ep0017|| Loss: 0.00884


trn:Ep0017|| Loss: 0.00893


val:Ep0018|| Loss: 0.00871


trn:Ep0018|| Loss: 0.00880


