PreModel(
  (encoder): DeeperGCN(
    (node_encoder): Sequential(
      (0): Linear(in_features=121, out_features=128, bias=True)
      (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
    (gcn_blocks): ModuleList(
      (0): ModuleList(
        (0): DeepGCNLayerV2(block=res+)
        (1): DeepGCNLayerV2(block=res+)
        (2): DeepGCNLayerV2(block=res+)
        (3): DeepGCNLayerV2(block=res+)
      )
    )
    (edge_encoder): Sequential(
      (0): Linear(in_features=11, out_features=128, bias=True)
      (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
  )
  (decoder): DeeperGCN(
    (node_encoder): Sequential(
      (0): Linear(in_features=128, out_features=121, bias=True)
      (1): LayerNorm((121,), eps=1e-05, elementwise_affine=True)
    )
    (gcn_blocks): ModuleList(
      (0): ModuleList(
        (0): DeepGCNLayerV2(block=res+)
      )
    )
    (edge_encoder): Sequential(
      (0): Linear(in_features=128, out_features=11, bias=True)
      (1): LayerNorm((11,), eps=1e-05, elementwise_affine=True)
    )
    (edge_decoder): Linear(in_features=121, out_features=11, bias=True)
  )
  (encoder2decoder_nodes): Linear(in_features=128, out_features=128, bias=False)
  (encoder2decoder_edges): Linear(in_features=128, out_features=128, bias=False)
)
loading processed data...
add degrees as node features for each sample...
in val dataloader...

val:Ep0000|| Loss: 1.00995

in train dataloader...

val:Ep0000|| Loss: 0.03917


trn:Ep0000|| Loss: 0.11781


val:Ep0001|| Loss: 0.02269


trn:Ep0001|| Loss: 0.03008


val:Ep0002|| Loss: 0.01847


trn:Ep0002|| Loss: 0.02065


val:Ep0003|| Loss: 0.01634


trn:Ep0003|| Loss: 0.01780


val:Ep0004|| Loss: 0.01511


trn:Ep0004|| Loss: 0.01597


val:Ep0005|| Loss: 0.01403


trn:Ep0005|| Loss: 0.01488


val:Ep0006|| Loss: 0.01375


trn:Ep0006|| Loss: 0.01400


val:Ep0007|| Loss: 0.01296


trn:Ep0007|| Loss: 0.01340


val:Ep0008|| Loss: 0.01224


trn:Ep0008|| Loss: 0.01283


val:Ep0009|| Loss: 0.01195


trn:Ep0009|| Loss: 0.01250


val:Ep0010|| Loss: 0.01159


trn:Ep0010|| Loss: 0.01203


val:Ep0011|| Loss: 0.01126


trn:Ep0011|| Loss: 0.01167


val:Ep0012|| Loss: 0.01093


trn:Ep0012|| Loss: 0.01146


val:Ep0013|| Loss: 0.01099


trn:Ep0013|| Loss: 0.01115


val:Ep0014|| Loss: 0.01054


trn:Ep0014|| Loss: 0.01087


val:Ep0015|| Loss: 0.01024


trn:Ep0015|| Loss: 0.01080


val:Ep0016|| Loss: 0.01028


trn:Ep0016|| Loss: 0.01051


val:Ep0017|| Loss: 0.01003


trn:Ep0017|| Loss: 0.01027


