PreModel(
  (encoder): DeeperGCN(
    (node_encoder): Sequential(
      (0): Linear(in_features=121, out_features=128, bias=True)
      (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
    (gcn_blocks): ModuleList(
      (0): ModuleList(
        (0): DeepGCNLayerV2(block=res+)
        (1): DeepGCNLayerV2(block=res+)
        (2): DeepGCNLayerV2(block=res+)
        (3): DeepGCNLayerV2(block=res+)
        (4): DeepGCNLayerV2(block=res+)
        (5): DeepGCNLayerV2(block=res+)
        (6): DeepGCNLayerV2(block=res+)
        (7): DeepGCNLayerV2(block=res+)
      )
    )
    (edge_encoder): Sequential(
      (0): Linear(in_features=11, out_features=128, bias=True)
      (1): LayerNorm((128,), eps=1e-05, elementwise_affine=True)
    )
  )
  (decoder): DeeperGCN(
    (node_encoder): Sequential(
      (0): Linear(in_features=128, out_features=121, bias=True)
      (1): LayerNorm((121,), eps=1e-05, elementwise_affine=True)
    )
    (gcn_blocks): ModuleList(
      (0): ModuleList(
        (0): DeepGCNLayerV2(block=res+)
      )
    )
    (edge_encoder): Sequential(
      (0): Linear(in_features=128, out_features=11, bias=True)
      (1): LayerNorm((11,), eps=1e-05, elementwise_affine=True)
    )
    (edge_decoder): Linear(in_features=121, out_features=11, bias=True)
  )
  (encoder2decoder_nodes): Linear(in_features=128, out_features=128, bias=False)
  (encoder2decoder_edges): Linear(in_features=128, out_features=128, bias=False)
)
loading processed data...
add degrees as node features for each sample...
in val dataloader...

val:Ep0000|| Loss: 0.85983

in train dataloader...

val:Ep0000|| Loss: 0.04257


trn:Ep0000|| Loss: 0.12905


val:Ep0001|| Loss: 0.02221


trn:Ep0001|| Loss: 0.02990


val:Ep0002|| Loss: 0.01759


trn:Ep0002|| Loss: 0.01991


val:Ep0003|| Loss: 0.01474


trn:Ep0003|| Loss: 0.01643


val:Ep0004|| Loss: 0.01344


trn:Ep0004|| Loss: 0.01443


val:Ep0005|| Loss: 0.01259


trn:Ep0005|| Loss: 0.01323


val:Ep0006|| Loss: 0.01174


trn:Ep0006|| Loss: 0.01240


val:Ep0007|| Loss: 0.01183


trn:Ep0007|| Loss: 0.01178


val:Ep0008|| Loss: 0.01076


trn:Ep0008|| Loss: 0.01128


val:Ep0009|| Loss: 0.01058


trn:Ep0009|| Loss: 0.01073


val:Ep0010|| Loss: 0.01021


trn:Ep0010|| Loss: 0.01035


val:Ep0011|| Loss: 0.00991


trn:Ep0011|| Loss: 0.01005


val:Ep0012|| Loss: 0.00942


trn:Ep0012|| Loss: 0.00964


val:Ep0013|| Loss: 0.00910


trn:Ep0013|| Loss: 0.00939


val:Ep0014|| Loss: 0.00908


trn:Ep0014|| Loss: 0.00922


val:Ep0015|| Loss: 0.00878


trn:Ep0015|| Loss: 0.00898


